,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?
2010-09-07,8.527453248228941,8.53264050398185,8.408152101143022,8.470396041870117,42043322,0.0,0.0,False
2010-09-08,8.480769731055759,8.636380098736385,8.454835017365399,8.589696884155273,58522191,0.0,0.0,False
2010-09-09,8.67787991548368,8.766060171046664,8.641571195899282,8.698628425598145,55017219,0.0,0.0,False
2010-09-10,8.734936075347145,8.817928015147176,8.71937482594226,8.81274127960205,44291715,0.0,0.0,False
2010-09-13,8.823115196386263,8.89573366876432,8.740123252393948,8.802367210388184,50411555,0.0,0.0,False
2010-09-14,8.781620326786344,8.932044026232951,8.7764335903281,8.85942554473877,53768440,0.0,0.0,False
2010-09-15,8.854237368774392,9.004661043765385,8.833489383544894,8.957977294921875,58196610,0.0,0.0,False
2010-09-16,8.952791567532367,8.952791567532367,8.859425102100333,8.906108856201172,40812356,0.0,0.0,False
2010-09-17,8.926856688234388,8.952791411547674,8.83349022442908,8.849051475524902,56217936,0.0,0.0,False
2010-09-20,8.859421483947685,8.98909713535369,8.83867350485503,8.963162422180176,33106562,0.0,0.0,False
2010-09-21,8.942414323056687,8.96316334705958,8.864609132738465,8.890544891357422,46251206,0.0,0.0,False
2010-09-22,8.88016974378247,8.957974928532002,8.859421764033879,8.932040214538574,54848368,0.0,0.0,False
2010-09-23,8.88017050835804,8.942414452962968,8.828301075905268,8.838674545288086,39959880,0.0,0.0,False
2010-09-24,8.932043236643045,9.030596434486064,8.89573399910568,9.025409698486328,35529497,0.0,0.0,False
2010-09-27,9.035783517796556,9.0409712967653,8.885360868635125,8.906108856201172,29433055,0.0,0.0,False
2010-09-28,8.921665855274645,9.066901699013867,8.854234145747432,9.040966987609863,45909816,0.0,0.0,False
2010-09-29,9.025409698486328,9.077280186792507,8.96835247418041,9.025409698486328,44578192,0.0,0.0,False
2010-09-30,9.066906020530448,9.077280535698293,8.900921077232429,8.906108856201172,41796686,0.0,0.0,False
2010-10-01,8.947605130956966,8.96835311921779,8.874986650659244,8.911295890808105,37438923,0.0,0.0,False
2010-10-04,8.86979499083684,8.92166545408146,8.745306608988122,8.7660551071167,42861753,0.0,0.0,False
2010-10-05,8.87498520187261,8.947603670315816,8.849050481472682,8.93722915649414,47107476,0.0,0.0,False
2010-10-06,8.942414794092706,9.015034296389375,8.906106607098438,8.952789306640625,37615468,0.0,0.0,False
2010-10-07,9.015034675598145,9.082465360303194,8.98391217941463,9.015034675598145,40638340,0.0,0.0,False
2010-10-08,9.04096875179274,9.077277980504926,9.015034035328041,9.056529998779297,29542461,0.0,0.0,False
2010-10-11,9.056530641996549,9.07727862519575,8.968350931322874,9.015034675598145,23553316,0.0,0.0,False
2010-10-12,9.072089848855446,9.09802456430775,8.957975432434424,9.066903114318848,48353304,0.0,0.0,False
2010-10-13,9.123960523304584,9.258822923608992,9.09802476451225,9.196578979492188,51835404,0.0,0.0,False
2010-10-14,9.201766657918522,9.248450402871224,9.113586945965267,9.160270690917969,37103962,0.0,0.0,False
2010-10-15,9.227698163959934,9.258820649759713,9.139519525475684,9.206950187683105,41940557,0.0,0.0,False
2010-10-18,9.196580893439055,9.269198321970109,9.139523672098518,9.232890129089355,45003587,0.0,0.0,False
2010-10-19,9.155084217289675,9.201766920806632,8.94760333358988,9.020220756530762,51294596,0.0,0.0,False
2010-10-20,9.056530773416583,9.206953393101232,8.973537796646037,9.160270690917969,44846014,0.0,0.0,False
2010-10-21,9.144708633422852,9.284757770349712,9.09283920064659,9.144708633422852,80476273,0.0,0.0,False
2010-10-22,9.13433726796752,9.155085254410961,9.051344279424177,9.077280044555664,86454772,0.0,0.0,False
2010-10-25,9.11358488954142,9.19657784758512,9.108398155529063,9.139520645141602,70927138,0.0,0.0,False
2010-10-26,9.113587070166163,9.129148318695801,9.015034929273847,9.072091102600098,37335737,0.0,0.0,False
2010-10-27,9.02540635945814,9.072089051724308,8.90610521898307,8.963162422180176,47944984,0.0,0.0,False
2010-10-28,9.030593551527364,9.129146717907922,9.004658837038566,9.113585472106934,35846435,0.0,0.0,False
2010-10-29,9.113587060144743,9.113587060144743,8.968351173823217,9.035781860351562,42398836,0.0,0.0,False
2010-11-01,9.144707379153957,9.253635050028638,9.077276708685728,9.139520645141602,44173456,0.0,0.0,False
2010-11-02,9.149897110208473,9.238076831147733,8.947603989773619,9.05134391784668,73684191,0.0,0.0,False
2010-11-03,9.082466431053303,9.160271637915276,9.051343931200696,9.12396240234375,53214774,0.0,0.0,False
2010-11-04,9.213053563789481,9.213053563789481,9.061074673926575,9.108241081237793,61236135,0.170778,0.0,False
2010-11-05,9.118723694341053,9.160648696058812,8.935301548438146,9.003429412841797,60584552,0.0,0.0,False
2010-11-08,8.940539279963035,8.971982495225362,8.86717002176674,8.935298919677734,39832136,0.0,0.0,False
2010-11-09,8.945778400013879,8.987703383584888,8.882890924657366,8.903853416442871,49052949,0.0,0.0,False
2010-11-10,8.882894397261047,8.888134758868453,8.72567459385721,8.820006370544434,56851917,0.0,0.0,False
2010-11-11,8.709950431622632,8.914335009966962,8.704709544774586,8.898613929748535,46638657,0.0,0.0,False
2010-11-12,8.825245936785093,8.893373788127239,8.783320416329902,8.830486297607422,43016375,0.0,0.0,False
2010-11-15,8.893374684486654,8.91957859834063,8.762358802644343,8.778080940246582,38413241,0.0,0.0,False
2010-11-16,8.70995081372588,8.778079185087844,8.652303689744585,8.699469566345215,45513301,0.0,0.0,False
2010-11-17,8.647064050364754,8.730914568284268,8.63134244041289,8.63658332824707,39887681,0.0,0.0,False
2010-11-18,8.673268343906193,8.851450120515045,8.673268343906193,8.820006370544434,30895797,0.0,0.0,False
2010-11-19,8.757115889230501,8.82000336776159,8.736152869611592,8.804281234741211,34485510,0.0,0.0,False
2010-11-22,8.730914404456668,8.767598511506232,8.647063888110532,8.715192794799805,34328569,0.0,0.0,False
2010-11-23,8.657543910149068,8.767597269255333,8.610378034310598,8.683747291564941,41797108,0.0,0.0,False
2010-11-24,8.688987786294271,8.751875797310866,8.683747425995124,8.746635437011719,24701544,0.0,0.0,False
2010-11-26,8.683744502398369,8.709947875397877,8.626097397864502,8.64181900024414,17370025,0.0,0.0,False
2010-11-29,8.599893449534543,8.709947292704854,8.516042977610741,8.678503036499023,41191269,0.0,0.0,False
2010-11-30,8.615620329384058,8.631342466158156,8.526529450139964,8.542251586914062,46149706,0.0,0.0,False
2010-12-01,8.641821047106315,8.778078302911975,8.605136948348278,8.751874923706055,47275589,0.0,0.0,False
2010-12-02,8.799041673879497,8.809522921253052,8.709950807816645,8.746635437011719,35408919,0.0,0.0,False
2010-12-03,8.762356758117676,8.76759711824544,8.699469275933033,8.762356758117676,43788219,0.0,0.0,False
2010-12-06,8.75187550675583,8.966741860943227,8.741394259730244,8.80952262878418,56194537,0.0,0.0,False
2010-12-07,8.87241277604992,8.89337527639785,8.772840636009555,8.788562774658203,65821878,0.0,0.0,False
2010-12-08,8.77807889205146,8.84620726113911,8.725672130122346,8.762356758117676,45157681,0.0,0.0,False
2010-12-09,8.793797428086839,8.804278144054283,8.6942248318708,8.783315658569336,33414962,0.0,0.0,False
2010-12-10,8.783318438889316,8.940538183343675,8.725671322170264,8.919575691223145,45247798,0.0,0.0,False
2010-12-13,8.99294866605145,9.092521873478793,8.940542934675003,9.008670806884766,49822475,0.0,0.0,False
2010-12-14,9.050590572705492,9.066312704434981,8.940537757699742,8.966740608215332,55037456,0.0,0.0,False
2010-12-15,8.935299159505826,9.06107413103204,8.935299159505826,8.951020240783691,40819101,0.0,0.0,False
2010-12-16,8.945778703047363,9.024388313293457,8.91957585081547,9.024388313293457,37704215,0.0,0.0,False
2010-12-17,8.961502671710749,8.977224807690975,8.903855542150335,8.92481803894043,54946601,0.0,0.0,False
