,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?
2010-09-02,7.542853780069615,7.570172309875488,7.462099824390635,7.570172309875488,415427600,0.0,0.0,False
2010-09-03,7.657833036428456,7.76860701629394,7.640121159876191,7.768307209014893,520788800,0.0,0.0,False
2010-09-07,7.704364178609232,7.791122313844437,7.692656463737756,7.739488124847412,342557600,0.0,0.0,False
2010-09-08,7.798625777428388,7.937018879541061,7.778211630508472,7.892889499664307,526551200,0.0,0.0,False
2010-09-09,7.956529172925473,8.000958344238517,7.89288669369472,7.8973894119262695,438575200,0.0,0.0,False
2010-09-10,7.900992966326994,7.940319810431342,7.847256940976073,7.907597541809082,387542400,0.0,0.0,False
2010-09-13,7.979943621749483,8.05379316184792,7.978143175974057,8.016568183898926,388780000,0.0,0.0,False
2010-09-14,7.991656234110542,8.080515422114129,7.970942277123896,8.04719352722168,408150400,0.0,0.0,False
2010-09-15,8.050491320904417,8.116836064692093,8.040584059344638,8.112031936645508,429368800,0.0,0.0,False
2010-09-16,8.112637314574213,8.305665883654774,8.090421918473224,8.302663803100586,652103200,0.0,0.0,False
2010-09-17,8.336285567306776,8.344391584898869,8.215905755023886,8.266639709472656,634477200,0.0,0.0,False
2010-09-20,8.287952542455406,8.519107894477779,8.281048159214484,8.502596855163574,658677600,0.0,0.0,False
2010-09-21,8.521512545996533,8.626282369844079,8.489390679301849,8.518810272216797,668074400,0.0,0.0,False
2010-09-22,8.48698966759953,8.6451957451406,8.477983423680268,8.638291358947754,585289600,0.0,0.0,False
2010-09-23,8.595658550556353,8.788687878556093,8.585752087730995,8.673410415649414,786116800,0.0,0.0,False
2010-09-24,8.76888030691635,8.811808873119423,8.722349242645665,8.775484085083008,649488000,0.0,0.0,False
2010-09-27,8.825312953514425,8.8478273515349,8.73615317976846,8.740655899047852,482834800,0.0,0.0,False
2010-09-28,8.758969863853693,8.758969863853693,8.255533366425114,8.611571311950684,1035042400,0.0,0.0,False
2010-09-29,8.622674873660058,8.700126917255412,8.585750500275019,8.626877784729004,469644000,0.0,0.0,False
2010-09-30,8.675815084341066,8.705835089241228,8.44315904433522,8.518209457397461,673391600,0.0,0.0,False
2010-10-01,8.590256861937684,8.603165407741388,8.446160199235672,8.481284141540527,448142800,0.0,0.0,False
2010-10-04,8.453667279246538,8.492692730728187,8.338689575911397,8.364808082580566,435302000,0.0,0.0,False
2010-10-05,8.465671705515954,8.68932063476179,8.460267160341397,8.67401123046875,501967200,0.0,0.0,False
2010-10-06,8.693524013311977,8.765572327949585,8.563536758810748,8.68151569366455,670868800,0.0,0.0,False
2010-10-07,8.71604419688448,8.720247111164891,8.61307560269821,8.682421684265137,408399600,0.0,0.0,False
2010-10-08,8.757170672084527,8.840926737429504,8.705837085218757,8.828018188476562,658403200,0.0,0.0,False
2010-10-11,8.848129884928166,8.923179491101624,8.843926972309685,8.866741180419922,427753200,0.0,0.0,False
2010-10-12,8.868241827807115,8.991024902828332,8.780582689999477,8.962204933166504,558544000,0.0,0.0,False
2010-10-13,9.012038941946356,9.064873951384754,9.00003062088146,9.010237693786621,630092400,0.0,0.0,False
2010-10-14,9.056770285504228,9.080185713964651,9.018043844253866,9.075383186340332,435296400,0.0,0.0,False
2010-10-15,9.22938037121085,9.456332741793046,9.153429773917935,9.448527336120605,922194000,0.0,0.0,False
2010-10-18,9.560510405948444,9.576420235288548,9.435025805492906,9.546401023864746,1093010800,0.0,0.0,False
2010-10-19,9.108103688627939,9.419411816739066,9.006635774005062,9.290925979614258,1232784000,0.0,0.0,False
2010-10-20,9.276214840123046,9.433820434012572,9.212272539696858,9.322145462036133,721624400,0.0,0.0,False
2010-10-21,9.377086771075055,9.4485347062539,9.210175050769278,9.291830062866211,551460000,0.0,0.0,False
2010-10-22,9.278316370433721,9.307436147333926,9.19516155522729,9.230284690856934,372778000,0.0,0.0,False
2010-10-25,9.278918451377573,9.354267865135425,9.259404527603078,9.27141284942627,392462000,0.0,0.0,False
2010-10-26,9.212275031647119,9.298432747547729,9.17564964546207,9.247698783874512,392929600,0.0,0.0,False
2010-10-27,9.235687031039998,9.303231820683136,9.174145599213587,9.241090774536133,399002800,0.0,0.0,False
2010-10-28,9.244697986529953,9.246199428097878,9.033057252116697,9.163344383239746,551051200,0.0,0.0,False
2010-10-29,9.133022286741541,9.182555421258389,9.032153967467615,9.035456657409668,430511200,0.0,0.0,False
2010-11-01,9.072681090110612,9.174149017586783,9.072080673942876,9.13152027130127,423889200,0.0,0.0,False
2010-11-02,9.216174952454038,9.31193850063626,9.216174952454038,9.28702163696289,433930000,0.0,0.0,False
2010-11-03,9.347360922359371,9.392691924022202,9.262104265621845,9.390290260314941,508348400,0.0,0.0,False
2010-11-04,9.469847316783536,9.61184293702501,9.45723857706085,9.55450439453125,642488000,0.0,0.0,False
2010-11-05,9.54609777782382,9.593529048654386,9.50887277953825,9.520279884338379,361253200,0.0,0.0,False
2010-11-08,9.522384177485328,9.599535665554553,9.509175019299834,9.56501293182373,281758400,0.0,0.0,False
2010-11-09,9.637957869424126,9.645463470918607,9.441326822090709,9.488758087158203,383544000,0.0,0.0,False
2010-11-10,9.505567063605053,9.56951015839713,9.41280480548892,9.547295570373535,384227200,0.0,0.0,False
2010-11-11,9.456337841634937,9.558406982997418,9.433822637018135,9.505871772766113,361284000,0.0,0.0,False
2010-11-12,9.486356654764656,9.501366254873277,9.115008534581033,9.247096061706543,795846800,0.0,0.0,False
2010-11-15,9.260004490381625,9.322446152152747,9.194260139744905,9.217375755310059,403606000,0.0,0.0,False
2010-11-16,9.177750321116273,9.23418783029684,8.985621180543971,9.053767204284668,657650000,0.0,0.0,False
2010-11-17,9.042058490328158,9.125814521503944,8.938789339210553,9.021044731140137,479449600,0.0,0.0,False
2010-11-18,9.162135759200117,9.296325894726742,9.146826357604592,9.259100914001465,494491200,0.0,0.0,False
2010-11-19,9.245294792691448,9.258203336221053,9.163340010582976,9.208069801330566,384843200,0.0,0.0,False
2010-11-22,9.206567658934254,9.407102584838867,9.182252014579362,9.407102584838867,393075200,0.0,0.0,False
2010-11-23,9.319744299138739,9.358771341533194,9.20296618565621,9.268109321594238,519447600,0.0,0.0,False
2010-11-24,9.366275993819771,9.46834512396492,9.358771995270445,9.450332641601562,413725200,0.0,0.0,False
2010-11-26,9.418510613207763,9.537390582117224,9.39449477366361,9.45633602142334,237585600,0.0,0.0,False
2010-11-29,9.471345011839533,9.530784591662522,9.347662524268712,9.512473106384277,445785200,0.0,0.0,False
