"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2022","19.15","19.21","20.46","18.73","1.33M","-0.88%"
"03/01/2022","19.32","17.55","19.56","17.52","711.22K","9.15%"
"02/01/2022","17.70","17.84","18.33","17.48","1.13M","-0.56%"
"01/01/2022","17.80","18.73","18.98","17.39","544.59K","-4.30%"
"12/01/2021","18.60","18.58","19.47","18.17","344.92K","1.75%"
"11/01/2021","18.28","18.98","20.29","18.23","361.42K","-3.54%"
"10/01/2021","18.95","19.72","20.07","18.57","365.00K","-6.83%"
"09/01/2021","20.34","20.61","20.74","19.31","1.24M","-1.02%"
"08/01/2021","20.55","18.43","20.94","18.31","644.05K","11.50%"
"07/01/2021","18.43","18.08","19.19","17.16","501.94K","3.02%"
"06/01/2021","17.89","17.50","17.94","16.44","1.30M","2.88%"
"05/01/2021","17.39","16.90","18.23","16.65","567.94K","2.41%"
"04/01/2021","16.98","14.71","17.79","14.67","1.29M","14.96%"
"03/01/2021","14.77","15.90","16.10","14.68","673.34K","-10.21%"
"02/01/2021","16.45","15.22","17.52","15.11","1.25M","9.08%"
"01/01/2021","15.08","14.78","15.79","14.57","634.93K","2.72%"
"12/01/2020","14.68","13.81","14.75","13.53","375.73K","6.22%"
"11/01/2020","13.82","13.28","14.57","13.28","494.27K","3.21%"
"10/01/2020","13.39","13.22","14.17","13.05","472.64K","-0.89%"
"09/01/2020","13.51","13.28","13.65","12.44","1.46M","1.73%"
"08/01/2020","13.28","13.15","13.77","12.99","579.97K","0.61%"
"07/01/2020","13.20","12.58","13.27","12.00","521.76K","10.37%"
"06/01/2020","11.96","11.04","12.40","10.92","1.42M","9.02%"
"05/01/2020","10.97","10.71","11.27","10.27","791.91K","5.79%"
"04/01/2020","10.37","10.48","10.85","9.21","1.43M","-1.24%"
"03/01/2020","10.50","14.15","14.30","10.41","1.29M","-25.74%"
"02/01/2020","14.14","14.34","15.29","13.86","1.79M","-1.46%"
"01/01/2020","14.35","13.56","14.75","13.20","1.07M","5.98%"
"12/01/2019","13.54","13.01","13.70","12.79","497.03K","4.31%"
"11/01/2019","12.98","12.58","13.04","12.42","480.87K","3.18%"
"10/01/2019","12.58","12.76","13.03","12.16","388.94K","-0.55%"
"09/01/2019","12.65","12.34","12.85","11.74","1.98M","3.43%"
"08/01/2019","12.23","13.20","13.20","12.15","697.19K","-7.35%"
"07/01/2019","13.20","13.63","13.69","12.42","511.21K","4.60%"
"06/01/2019","12.62","12.44","12.95","12.29","1.65M","1.53%"
"05/01/2019","12.43","12.74","12.75","11.82","878.14K","0.73%"
"04/01/2019","12.34","12.63","13.05","12.30","1.73M","-2.45%"
"03/01/2019","12.65","13.13","13.13","12.29","761.68K","-1.02%"
"02/01/2019","12.78","12.81","13.42","12.34","1.33M","-0.23%"
"01/01/2019","12.81","12.15","13.37","11.82","822.21K","5.87%"
"12/01/2018","12.10","13.07","13.17","12.10","339.58K","-6.56%"
"11/01/2018","12.95","13.25","13.63","12.45","433.51K","-2.63%"
"10/01/2018","13.30","11.25","14.29","11.15","654.57K","18.75%"
"09/01/2018","11.20","11.45","12.55","10.80","1.59M","-1.93%"
"08/01/2018","11.42","11.52","11.90","10.83","800.48K","-0.52%"
"07/01/2018","11.48","12.94","12.94","11.38","467.88K","-6.29%"
"06/01/2018","12.25","13.01","13.18","11.91","1.54M","-5.91%"
"05/01/2018","13.02","12.01","13.08","11.51","877.19K","10.81%"
"04/01/2018","11.75","12.43","12.65","10.93","1.65M","-5.70%"
"03/01/2018","12.46","13.54","13.92","12.32","649.00K","-6.88%"
"02/01/2018","13.38","13.37","14.02","12.82","1.41M","0.07%"
"01/01/2018","13.37","14.95","15.24","13.17","716.73K","-10.99%"
"12/01/2017","15.02","15.02","15.15","13.49","364.26K","-0.07%"
"11/01/2017","15.03","14.79","15.40","14.26","393.13K","1.42%"
"10/01/2017","14.82","14.24","14.87","13.95","328.93K","5.11%"
"09/01/2017","14.10","14.88","15.20","13.72","1.33M","-5.87%"
"08/01/2017","14.98","15.50","15.82","13.77","555.03K","-3.97%"
"07/01/2017","15.60","14.37","15.64","13.96","398.34K","12.96%"
"06/01/2017","13.81","15.26","15.27","12.74","1.32M","-8.72%"
"05/01/2017","15.13","16.33","16.77","15.05","616.53K","-6.20%"
"04/01/2017","16.13","17.04","17.26","15.35","1.26M","-4.44%"
"03/01/2017","16.88","19.16","19.62","16.78","669.50K","-12.22%"
"02/01/2017","19.23","20.53","21.21","19.10","1.13M","-6.01%"
"01/01/2017","20.46","19.38","21.17","19.32","619.49K","6.29%"
"12/01/2016","19.25","19.31","19.43","17.66","371.69K","-0.10%"
"11/01/2016","19.27","21.11","21.90","19.03","384.31K","-8.72%"
"10/01/2016","21.11","22.00","22.98","21.08","328.72K","-8.22%"
"09/01/2016","23.00","20.55","24.10","20.10","1.54M","11.87%"
"08/01/2016","20.56","19.46","21.37","19.18","523.43K","5.76%"
"07/01/2016","19.44","20.52","21.13","19.09","368.13K","-4.38%"
"06/01/2016","20.33","17.56","21.22","17.34","1.64M","15.12%"
"05/01/2016","17.66","16.68","17.82","15.93","666.23K","8.21%"
"04/01/2016","16.32","15.47","16.40","14.28","1.41M","5.63%"
"03/01/2016","15.45","14.22","16.63","13.99","644.81K","7.59%"
"02/01/2016","14.36","13.11","14.38","12.61","1.38M","9.79%"
"01/01/2016","13.08","14.85","14.90","13.04","761.59K","-12.33%"
"12/01/2015","14.92","14.37","15.35","13.88","311.74K","3.18%"
"11/01/2015","14.46","14.15","15.35","13.63","423.33K","2.05%"
"10/01/2015","14.17","12.78","14.36","12.78","496.34K","10.02%"
"09/01/2015","12.88","11.79","13.00","11.48","1.69M","9.43%"
"08/01/2015","11.77","12.41","12.45","11.28","636.91K","-5.08%"
"07/01/2015","12.40","13.72","13.98","12.38","520.52K","-0.56%"
"06/01/2015","12.47","12.34","12.79","11.52","1.55M","1.55%"
"05/01/2015","12.28","13.56","13.90","12.16","605.38K","-6.83%"
"04/01/2015","13.18","12.13","13.50","12.09","1.61M","9.29%"
"03/01/2015","12.06","14.09","14.11","12.03","739.31K","-12.42%"
"02/01/2015","13.77","15.04","15.19","13.70","1.38M","-8.44%"
"01/01/2015","15.04","14.92","16.27","14.45","557.51K","0.80%"
"12/01/2014","14.92","15.90","16.11","14.88","246.23K","-6.52%"
"11/01/2014","15.96","16.33","16.69","15.84","313.47K","-2.33%"
"10/01/2014","16.34","16.65","17.36","16.21","282.35K","-0.67%"
"09/01/2014","16.45","17.52","17.76","15.51","1.44M","-5.68%"
"08/01/2014","17.44","18.25","18.70","17.27","532.31K","-4.44%"
"07/01/2014","18.25","19.22","19.36","18.21","518.72K","1.33%"
"06/01/2014","18.01","18.20","18.81","17.47","1.35M","-0.99%"
"05/01/2014","18.19","18.30","18.91","17.79","484.34K","2.65%"
"04/01/2014","17.72","18.15","18.15","17.18","1.13M","-2.26%"
"03/01/2014","18.13","17.72","18.57","17.05","600.03K","2.66%"
"02/01/2014","17.66","15.72","18.13","15.57","1.56M","12.06%"
"01/01/2014","15.76","16.50","16.56","14.92","546.26K","-4.83%"
"12/01/2013","16.56","17.31","17.32","16.02","287.89K","-3.94%"
"11/01/2013","17.24","18.24","18.25","17.22","262.73K","-5.22%"
"10/01/2013","18.19","18.08","19.67","17.98","404.96K","0.28%"
"09/01/2013","18.14","16.92","18.24","16.92","1.49M","7.46%"
"08/01/2013","16.88","17.46","17.78","16.79","504.76K","-3.38%"
"07/01/2013","17.47","17.76","17.86","16.70","471.88K","3.25%"
"06/01/2013","16.92","16.90","17.49","16.48","1.62M","0.12%"
"05/01/2013","16.90","18.04","18.21","16.86","447.27K","-3.98%"
"04/01/2013","17.60","17.66","17.97","17.25","1.28M","-0.56%"
"03/01/2013","17.70","18.42","19.00","17.60","533.32K","-3.75%"
"02/01/2013","18.39","18.90","19.02","17.67","1.07M","-2.39%"
"01/01/2013","18.84","19.70","19.80","18.19","530.17K","-3.88%"
"12/01/2012","19.60","19.48","19.91","18.48","235.81K","1.14%"
"11/01/2012","19.38","19.48","19.96","18.79","314.86K","-0.10%"
"10/01/2012","19.40","20.43","21.69","19.13","314.13K","-5.00%"
"09/01/2012","20.42","20.50","21.00","19.48","982.42K","-0.44%"
"08/01/2012","20.51","22.87","23.08","20.16","529.85K","-10.44%"
"07/01/2012","22.90","21.54","24.10","21.49","557.16K","9.00%"
"06/01/2012","21.01","19.78","21.39","19.24","1.28M","6.22%"
"05/01/2012","19.78","21.50","21.58","19.73","472.99K","-6.34%"
"04/01/2012","21.12","23.80","23.98","20.89","1.11M","-11.34%"
"03/01/2012","23.82","24.29","25.00","22.45","658.92K","-4.76%"
"02/01/2012","25.01","23.09","25.81","22.85","907.98K","8.32%"
"01/01/2012","23.09","23.13","24.50","22.43","431.77K","0.61%"
"12/01/2011","22.95","23.36","23.84","22.25","185.68K","-1.63%"
"11/01/2011","23.33","25.15","25.45","22.43","216.25K","-7.27%"
"10/01/2011","25.16","24.62","27.19","23.66","212.35K","-0.51%"
"09/01/2011","25.29","28.91","28.96","24.01","1.01M","-12.43%"
"08/01/2011","28.88","28.79","30.60","25.38","503.35K","1.30%"
"07/01/2011","28.51","25.50","30.14","25.13","380.33K","8.24%"
